#序列号    类型          状态        状态原因编号   签发时间/吊销时间         颁发者序列号      算法
#     ROOT/CA/END   V正常R吊销N未知     0-9    例如 2000/06/17-12:12:12     A00001	 RSA|DSA|ECC|SM2
10fcbcc21 E V 0 2024/10/24-14:50:13 13fbe8654e31862 RSA
10fcbce2b E V 0 2024/10/24-14:52:57 1cdd32e772532 RSA
10fcbcd02 E V 0 2024/10/24-14:53:38 1cdd32e772532 RSA
10fcbccc4 E V 0 2024/10/24-14:53:39 1cdd32e772532 RSA
10fcbcd52 E V 0 2024/10/24-14:53:41 1cdd32e772532 RSA
10fcbce95 E V 0 2024/10/24-14:53:43 1cdd32e772532 RSA
10fcbcf49 E V 0 2024/10/24-14:53:44 1cdd32e772532 RSA
10fcbcf45 E R 5 2024/10/24-23:26:17 1cdd32e772532 RSA
10fcc1b72 E V 0 2024/10/24-20:31:21 1cdd32e77274e RSA
1cdd32e7b45d9 C R 5 2024/10/28-17:25:40 13fbe8654e31862 RSA
10fd147f8 E V 0 2024/10/28-18:41:04 1cdd32e7b45d9 RSA
10fd148b7 E V 0 2024/10/28-18:43:36 1cdd32e7b45d9 RSA
10fd14a1a E V 0 2024/10/28-18:45:04 1cdd32e7b45d9 RSA
10fd14a20 E V 0 2024/10/28-18:45:10 1cdd32e7b45d9 RSA
10fd50083 E V 0 2024/10/31-14:21:49 1cdd32e77274e SM2
10fd50c07 E V 0 2024/10/31-15:17:08 1cdd32e77274e SM2
